,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address
541,The Last of the Wine,Mary Renault,Athens,Greece,The Last of the Wine,"Athens, Greece","Athens-Clarke County Unified Government, Athens-Clarke County, Georgia, United States",Ελλάς,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς","Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς",37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
543,"Blood Red, Snow White",Marcus Sedgwick,Moscow,Russia,"Blood Red, Snow White","Moscow, Russia","Москва, Центральный федеральный округ, Россия",Россия,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",55.625578,37.6063916,"Москва, Центральный федеральный округ, Россия"
544,Marthandavarma,C. V. Raman Pillai,Travancore (Thiruvananthapuram),India,Ramarajabahadur (novel),"Travancore (Thiruvananthapuram), India","Mall Of Travancore, Thiruvananthapuram Bypass, Eanchakkal, Thiruvananthapuram, Kerala, 695024, India",India,"Travancore Titanium Products (TTP), ISRO Road Near Kochuveli Railway Station, Balanagar, Kochuveli, Thiruvananthapuram, Kerala, Vettukadu, Thiruvananthapuram, Kerala, 695021, India","Travancore Titanium Products (TTP), ISRO Road Near Kochuveli Railway Station, Balanagar, Kochuveli, Thiruvananthapuram, Kerala, Vettukadu, Thiruvananthapuram, Kerala, 695021, India",8.4998069,76.89963982164869,"Travancore Titanium Products (TTP), ISRO Road Near Kochuveli Railway Station, Balanagar, Kochuveli, Thiruvananthapuram, Kerala, Vettukadu, Thiruvananthapuram, Kerala, 695021, India"
545,The Bolitho Novels,Alexander Kent (pseudonym of Douglas Reeman),Falmouth,Great Britain,Bolitho Novels,"Falmouth, Great Britain","Falmouth, Cornwall, England, United Kingdom","Great Britain, United Kingdom",,"Falmouth, Cornwall, England, United Kingdom",50.1552197,-5.0688262,"Falmouth, Cornwall, England, United Kingdom"
548,In the Time of the Butterflies,Julia Alvarez,Santo Domingo,Dominican Republic,In the Time of the Butterflies,"Santo Domingo, Dominican Republic","Santo Domingo de Guzmán, Distrito Nacional, República Dominicana",República Dominicana,"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana","Santo Domingo de Guzmán, Distrito Nacional, República Dominicana",18.4801972,-69.942111,"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana"
549,Fateless,Imre Kertész,Budapest,Hungary,Fatelessness,"Budapest, Hungary","Budapest, Közép-Magyarország, Magyarország",Magyarország,"Budapest, Közép-Magyarország, Magyarország","Budapest, Közép-Magyarország, Magyarország",47.4978789,19.0402383,"Budapest, Közép-Magyarország, Magyarország"
550,The Book and the Brotherhood,Iris Murdoch,Oxford,England,The Book and the Brotherhood,"Oxford, England","Oxford, Oxfordshire, England, United Kingdom","England, United Kingdom","Oxford, Oxfordshire, England, United Kingdom","Oxford, Oxfordshire, England, United Kingdom",51.7520131,-1.2578499,"Oxford, Oxfordshire, England, United Kingdom"
553,Swimming Home,Deborah Levy,Nice,France,Swimming Home,"Nice, France","Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",France,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France","Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.7009358,7.2683912,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
554,The Sisters Brothers,Patrick deWitt,Oregon City,Canada,The Sisters Brothers,"Oregon City, Canada","Oregon City, Clackamas County, Oregon, 97045, United States",Canada,"Oregon Trail, Eatonville, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 3Z8, Canada","Oregon Trail, Eatonville, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 3Z8, Canada",43.6398586,-79.55372,"Oregon Trail, Eatonville, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 3Z8, Canada"
555,The Blood of Lorraine,Barbara Corrado Pope,France (Belle Époque),France,The Blood of Lorraine,"France (Belle Époque), France","Belle Époque, Rue Dangon, Serin, Lyon 4e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69004, France",France,,"Belle Époque, Rue Dangon, Serin, Lyon 4e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69004, France",45.7776541,4.8201862,"Belle Époque, Rue Dangon, Serin, Lyon 4e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69004, France"
556,Pharaoh,Bolesław Prus,Egypt,Egypt,Pharaoh (Prus novel),"Egypt, Egypt",مصر,مصر,مصر,مصر,26.2540493,29.2675469,مصر
558,The Ministry of Utmost Happiness,Arundhati Roy,Delhi and Kashmir,India,The Ministry of Utmost Happiness,"Delhi and Kashmir, India","Jammu and Kashmir Bank, Main road, Batla House, Defence Colony Tehsil, South East Delhi, Delhi, 110025, India",India,"Delhi Public School Srinagar, MA Road, Lasjan, Srinagar, Srīnagar, Srinagar, Jammu and Kashmir, 190004, India","Delhi Public School Srinagar, MA Road, Lasjan, Srinagar, Srīnagar, Srinagar, Jammu and Kashmir, 190004, India",34.0411016,74.87946013678442,"Delhi Public School Srinagar, MA Road, Lasjan, Srinagar, Srīnagar, Srinagar, Jammu and Kashmir, 190004, India"
559,Bano,Razia Butt,Ludhiana,Pakistan,Bano (novel),"Ludhiana, Pakistan","Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141001, India",پاکستان,"Ludhiana Foods, Katchary Bazar, Katchary Bazaar, تحصیل فیصل آباد شہر, ضلع فیصل آباد, فیصل آباد ڈویژن, پنجاب, 38900, پاکستان","Ludhiana Foods, Katchary Bazar, Katchary Bazaar, تحصیل فیصل آباد شہر, ضلع فیصل آباد, فیصل آباد ڈویژن, پنجاب, 38900, پاکستان",31.4188805,73.079445,"Ludhiana Foods, Katchary Bazar, Katchary Bazaar, تحصیل فیصل آباد شہر, ضلع فیصل آباد, فیصل آباد ڈویژن, پنجاب, 38900, پاکستان"
560,Marthandavarma,C. V. Raman Pillai,Travancore (now Trivandrum),India,Dharmaraja (novel),"Travancore (now Trivandrum), India",,India,,India,22.3511148,78.6677428,India
562,An Angel in Australia,Thomas Keneally,Sydney,Australia,An Angel in Australia,"Sydney, Australia","Sydney, Council of the City of Sydney, New South Wales, Australia",Australia,"Sydney, Council of the City of Sydney, New South Wales, Australia","Sydney, Council of the City of Sydney, New South Wales, Australia",-33.8698439,151.2082848,"Sydney, Council of the City of Sydney, New South Wales, Australia"
563,The Glass Room,Simon Mawer,Brno,Czechoslovakia,The Glass Room,"Brno, Czechoslovakia","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko","Tschechoslowakei, Kardenweg, Mauthausen, Bezirk Perg, Oberösterreich, 4310, Österreich",,"Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,"Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko"
566,A Place in England,Melvyn Bragg,Wigton,England,A Place in England,"Wigton, England","Wigton, Cumberland, England, United Kingdom","England, United Kingdom","Wigton, Cumberland, England, United Kingdom","Wigton, Cumberland, England, United Kingdom",54.8246802,-3.1610942,"Wigton, Cumberland, England, United Kingdom"
574,The Killer Angels,Michael Shaara,Gettysburg,United States,The Killer Angels,"Gettysburg, United States","Gettysburg, Adams County, Pennsylvania, 17325, United States",United States,"Gettysburg, Adams County, Pennsylvania, 17325, United States","Gettysburg, Adams County, Pennsylvania, 17325, United States",39.8308973,-77.231012,"Gettysburg, Adams County, Pennsylvania, 17325, United States"
577,In Ascension,Martin MacInnes,Rotterdam,Netherlands,In Ascension,"Rotterdam, Netherlands","Rotterdam, Zuid-Holland, Nederland",Nederland,"Rotterdam, Zuid-Holland, Nederland","Rotterdam, Zuid-Holland, Nederland",51.9244424,4.47775,"Rotterdam, Zuid-Holland, Nederland"
580,The Warsaw Anagrams,Richard Zimler,Warsaw,Poland,The Warsaw Anagrams,"Warsaw, Poland","Warszawa, województwo mazowieckie, Polska",Polska,"Warszawa, województwo mazowieckie, Polska","Warszawa, województwo mazowieckie, Polska",52.2337172,21.071432235636493,"Warszawa, województwo mazowieckie, Polska"
584,The Death of Vishnu,Manil Suri,Bombay,India,The Death of Vishnu,"Bombay, India","Mumbai Suburban, Maharashtra, India",India,"Mumbai City, Maharashtra, India","Mumbai City, Maharashtra, India",18.9733536,72.82810491917377,"Mumbai City, Maharashtra, India"
586,Out of This Furnace,Thomas Bell,Braddock,United States,Out of This Furnace,"Braddock, United States","Braddock, Emmons County, North Dakota, United States",United States,"Braddock, Emmons County, North Dakota, United States","Braddock, Emmons County, North Dakota, United States",46.5644311,-100.0909421,"Braddock, Emmons County, North Dakota, United States"
587,The Clothes on Their Backs,Linda Grant,London,United Kingdom,The Clothes on Their Backs,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
594,The Adventurer,Mika Waltari,Turku,Finland,The Adventurer (novel),"Turku, Finland","Turku, Turun seutukunta, Varsinais-Suomi, Lounais-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland",Suomi / Finland,"Turku, Turun seutukunta, Varsinais-Suomi, Lounais-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland","Turku, Turun seutukunta, Varsinais-Suomi, Lounais-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland",60.4517531,22.2670522,"Turku, Turun seutukunta, Varsinais-Suomi, Lounais-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland"
596,Winter in Madrid,C. J. Sansom,Madrid,Spain,Winter in Madrid,"Madrid, Spain","Madrid, Comunidad de Madrid, España",España,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",40.4167047,-3.7035825,"Madrid, Comunidad de Madrid, España"
597,The Hunchback of Notre Dame,Victor Hugo,Paris,France,The Hunchback of Notre Dame,"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
600,Alias Grace,Margaret Atwood,Upper Canada,Canada,Alias Grace,"Upper Canada, Canada","Upper Canada, Hutton, North Somerset, England, BS24 9UT, United Kingdom",Canada,,"Upper Canada, Hutton, North Somerset, England, BS24 9UT, United Kingdom",51.3199525,-2.9162048,"Upper Canada, Hutton, North Somerset, England, BS24 9UT, United Kingdom"
603,Dark Cloud,,Tenochtítlan,Mexico,Aztec (book),"Tenochtítlan, Mexico","Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México","Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México",24.0769214,-104.5843863,"Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México"
605,The Secret Scripture,Sebastian Barry,Sligo,Ireland,The Secret Scripture,"Sligo, Ireland","County Sligo, Connacht, Éire / Ireland",Éire / Ireland,"County Sligo, Connacht, Éire / Ireland","County Sligo, Connacht, Éire / Ireland",54.19298605,-8.7305426729522,"County Sligo, Connacht, Éire / Ireland"
610,The City Beautiful,Aden Polydoros,Chicago,United States,The City Beautiful (novel),"Chicago, United States","Chicago, Cook County, Illinois, United States",United States,"Chicago, Cook County, Illinois, United States","Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
613,The Miniaturist,Jessica Burton,Amsterdam,Netherlands,The Miniaturist,"Amsterdam, Netherlands","Amsterdam, Noord-Holland, Nederland",Nederland,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",52.3730796,4.8924534,"Amsterdam, Noord-Holland, Nederland"
614,Royal Escape,Georgette Heyer,"Worcester, Shoreham (and NA)",England,Royal Escape,"Worcester, Shoreham (and NA), England",,"England, United Kingdom",,"England, United Kingdom",52.5310214,-1.2649062,"England, United Kingdom"
615,The Samurai,Shusaku Endo,Acapulco,Mexico,The Samurai (novel),"Acapulco, Mexico","Acapulco, Acapulco de Juárez, Guerrero, 39300, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Acapulco, Acapulco de Juárez, Guerrero, 39300, México","Acapulco, Acapulco de Juárez, Guerrero, 39300, México",16.8680495,-99.8940182,"Acapulco, Acapulco de Juárez, Guerrero, 39300, México"
617,A Journal of the Plague Year,Daniel Defoe,London,England,A Journal of the Plague Year,"London, England","London, Greater London, England, United Kingdom","England, United Kingdom","London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
619,The Bedlam Stacks,Robert Hensher,Kabul,Afghanistan,The Mulberry Empire,"Kabul, Afghanistan","کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان",افغانستان,"کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان","کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان",34.5260109,69.1776838,"کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان"
620,The Pillars of the Earth,Ken Follett,Toledo,Spain,The Pillars of the Earth,"Toledo, Spain","Toledo, Castilla-La Mancha, España",España,"Toledo, Castilla-La Mancha, España","Toledo, Castilla-La Mancha, España",39.8560679,-4.0239568,"Toledo, Castilla-La Mancha, España"
621,The Northern Clemency,Philip Hensher,Sheffield,England,The Northern Clemency,"Sheffield, England","Sheffield, South Yorkshire, England, United Kingdom","England, United Kingdom","Sheffield, South Yorkshire, England, United Kingdom","Sheffield, South Yorkshire, England, United Kingdom",53.3806626,-1.4702278,"Sheffield, South Yorkshire, England, United Kingdom"
623,Dublin: Foundation,Edward Rutherfurd,Dublin,Ireland,Dublin: Foundation,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
627,Thaddeus of Warsaw,Jane Porter,Warsaw,Poland,Thaddeus of Warsaw,"Warsaw, Poland","Warszawa, województwo mazowieckie, Polska",Polska,"Warszawa, województwo mazowieckie, Polska","Warszawa, województwo mazowieckie, Polska",52.2337172,21.071432235636493,"Warszawa, województwo mazowieckie, Polska"
628,Marthandavarma,C. V. Raman Pillai,Travancore,India,Marthandavarma (novel),"Travancore, India","Travancore, Melbourne, City of Moonee Valley, Victoria, 3032, Australia",India,"Travancore Medical College Hospital, Salem - Kochi - Kanyakumari Road, Mevaram, Kollam, Kerala, 691589, India","Travancore Medical College Hospital, Salem - Kochi - Kanyakumari Road, Mevaram, Kollam, Kerala, 691589, India",8.875029699999999,76.64485857994526,"Travancore Medical College Hospital, Salem - Kochi - Kanyakumari Road, Mevaram, Kollam, Kerala, 691589, India"
629,The Journeyer,Gary Jennings,Venice,Italy,The Journeyer,"Venice, Italy","Venezia, Veneto, 30121-30176, Italia",Italia,"Venezia, Veneto, 30121-30176, Italia","Venezia, Veneto, 30121-30176, Italia",45.4371908,12.3345898,"Venezia, Veneto, 30121-30176, Italia"
632,The Autograph Man,Zadie Smith,Mountjoy (fictional),England,The Autograph Man,"Mountjoy (fictional), England",,"England, United Kingdom",,"England, United Kingdom",52.5310214,-1.2649062,"England, United Kingdom"
635,A Tale for the Time Being,Ruth Ozeki,Tokyo,Japan,A Tale for the Time Being,"Tokyo, Japan","東京都, 日本",日本,"東京都, 日本","東京都, 日本",35.6821936,139.762221,"東京都, 日本"
638,The Story of Lucy Gault,William Trevor,Cork,Ireland,The Story of Lucy Gault,"Cork, Ireland","Cork, County Cork, Munster, Éire / Ireland",Éire / Ireland,"Cork, County Cork, Munster, Éire / Ireland","Cork, County Cork, Munster, Éire / Ireland",51.897077,-8.4654674,"Cork, County Cork, Munster, Éire / Ireland"
640,The Coffee Trader,,Amsterdam,Netherlands,The Coffee Trader,"Amsterdam, Netherlands","Amsterdam, Noord-Holland, Nederland",Nederland,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",52.3730796,4.8924534,"Amsterdam, Noord-Holland, Nederland"
643,Diary of an Ordinary Woman,Margaret Forster,London,England,Diary of an Ordinary Woman,"London, England","London, Greater London, England, United Kingdom","England, United Kingdom","London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
645,The Gift of Rain,Tan Twan Eng,Penang,Malaysia,The Gift of Rain,"Penang, Malaysia","Pulau Pinang, Malaysia",Malaysia,"Pulau Pinang, Malaysia","Pulau Pinang, Malaysia",5.4065013,100.2559077,"Pulau Pinang, Malaysia"
648,El Sol de Breda,,Venice,Spain,Captain Alatriste,"Venice, Spain","Venezia, Veneto, 30121-30176, Italia",España,"Venice, Calle Cervantes, Huerta del Rey, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España","Venice, Calle Cervantes, Huerta del Rey, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España",36.0126747,-5.6035962,"Venice, Calle Cervantes, Huerta del Rey, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España"
652,A Bend in the River,V.S. Naipaul,Kisangani,Zaire,A Bend in the River,"Kisangani, Zaire","Kisangani, Tshopo, République démocratique du Congo","Zaire, Angola","Kisangani, Tshopo, République démocratique du Congo","Kisangani, Tshopo, République démocratique du Congo",0.5184021,25.2057292,"Kisangani, Tshopo, République démocratique du Congo"
655,A Spool of Blue Thread,Anne Tyler,Baltimore,USA,A Spool of Blue Thread,"Baltimore, USA","Baltimore, Maryland, United States",United States,"Baltimore, Maryland, United States","Baltimore, Maryland, United States",39.2908816,-76.610759,"Baltimore, Maryland, United States"
656,The House of Niccolò,Dorothy Dunnett,"Multiple cities and locations (e.g., Flanders, Burgundy, Italy, Trebizond, Cyprus, Venice, Portugal, Madeira, Mali, Scotland, Egypt, the Sinai peninsula, Italy, Poland, Crimea, Persia, Russia, and France)","Multiple countries and regions (e.g., Flanders, Burgundy, Italy, Turkey, Greece, Ethiopia, Scotland, England, Wales, Ireland, Africa, Asia)",The House of Niccolò,"Multiple cities and locations (e.g., Flanders, Burgundy, Italy, Trebizond, Cyprus, Venice, Portugal, Madeira, Mali, Scotland, Egypt, the Sinai peninsula, Italy, Poland, Crimea, Persia, Russia, and France), Multiple countries and regions (e.g., Flanders, Burgundy, Italy, Turkey, Greece, Ethiopia, Scotland, England, Wales, Ireland, Africa, Asia)",,,,,,,
657,The Road to Wellville,T. C. Boyle,Battle Creek,Michigan,The Road to Wellville,"Battle Creek, Michigan","Battle Creek, Calhoun County, Michigan, United States","Michigan, United States","Battle Creek, Calhoun County, Michigan, United States","Battle Creek, Calhoun County, Michigan, United States",42.3192548,-85.1824269,"Battle Creek, Calhoun County, Michigan, United States"
658,Jack Maggs,Peter Carey,London,United Kingdom,Jack Maggs,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
659,The Heart of Mid-Lothian,Walter Scott,Edinburgh,Scotland,The Heart of Mid-Lothian,"Edinburgh, Scotland","City of Edinburgh, Alba / Scotland, United Kingdom","Alba / Scotland, United Kingdom","City of Edinburgh, Alba / Scotland, United Kingdom","City of Edinburgh, Alba / Scotland, United Kingdom",55.9533456,-3.1883749,"City of Edinburgh, Alba / Scotland, United Kingdom"
661,Empress Orchid,Anchee Min,Peking,China,Empress Orchid,"Peking, China","北京市, 中国",中国,"北京市, 中国","北京市, 中国",40.190632,116.412144,"北京市, 中国"
662,Darkmans,Nicola Barker,Ashford,UK,Darkmans,"Ashford, UK","Ashford, Kent, England, United Kingdom",United Kingdom,"Ashford, Kent, England, United Kingdom","Ashford, Kent, England, United Kingdom",51.148555,0.8722566,"Ashford, Kent, England, United Kingdom"
664,Quo Vadis,Henryk Sienkiewicz,Rome,Roman Empire,Quo Vadis (novel),"Rome, Roman Empire","Roma, Roma Capitale, Lazio, Italia","New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
665,Journey,James Michener,"Dawson, Yukon",Canada,Journey (novel),"Dawson, Yukon, Canada","Dawson City, Yukon, Y0B 1G0, Canada",Canada,"Dawson City, Yukon, Y0B 1G0, Canada","Dawson City, Yukon, Y0B 1G0, Canada",64.0606605,-139.431695,"Dawson City, Yukon, Y0B 1G0, Canada"
666,Footsteps,Pramoedya Ananta Toer,Batavia (today Indonesia),Indonesia,Jejak Langkah,"Batavia (today Indonesia), Indonesia",,Indonesia,,Indonesia,-2.4833826,117.8902853,Indonesia
667,The Rotters' Club,Jonathan Coe,Birmingham,United Kingdom,The Rotters' Club (novel),"Birmingham, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom",United Kingdom,"Birmingham, West Midlands Combined Authority, England, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom",52.4796992,-1.9026911,"Birmingham, West Midlands Combined Authority, England, United Kingdom"
669,Disgrace,J. M. Coetzee,Cape Town,South Africa,Disgrace,"Cape Town, South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa",South Africa,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
670,The Battle of Pollocks Crossing,J.L. Carr,Huron,United States,The Battle of Pollocks Crossing,"Huron, United States","Huron County, Ohio, United States",United States,"Huron County, Ohio, United States","Huron County, Ohio, United States",41.1305303,-82.591828,"Huron County, Ohio, United States"
